t_alarm_sec,lat,lng,dt_to_launch,dt_to_completion,dt_to_poa,base,dist
2018-01-01T00:31:57Z,50.50922,10.683720000000001,40,2779,417,1,0.06691820977880275
2018-01-01T01:33:29Z,50.515171,10.561964,60,3627,1062,1,0.188647015711885
2018-01-01T02:23:56Z,50.300076,10.925221,376,1976,393,3,0.025221114507491697
2018-01-01T03:07:32Z,50.367345,11.210582,70,7040,1236,2,0.21309886848362217
2018-01-01T03:31:58Z,50.502782,10.592543,166,11178,837,1,0.15748157470955226
2018-01-01T03:59:18Z,50.517339,10.555456,71,2460,1281,1,0.19531515265590682
2018-01-01T04:13:33Z,50.367787,11.123853,22,2717,732,2,0.12797360266086139
2018-01-01T05:30:59Z,50.387055,11.056848,46,578,775,2,0.058303242868644134
2018-01-01T05:43:59Z,50.491153,10.712965,92,1976,747,1,0.03807703552011388
2018-01-01T05:53:32Z,50.358442,11.037273,155,7260,419,2,0.055824223174176124
2018-01-01T08:26:34Z,50.536956000000004,10.572461,26,1508,897,1,0.18134454074220174
2018-01-01T08:36:31Z,50.495377,10.640809,72,4659,1454,1,0.10928882198102345
2018-01-01T08:44:30Z,50.542536,10.5778,60,3120,809,1,0.17737573480045096
2018-01-01T08:48:59Z,50.493276,10.591345,109,6776,1248,1,0.15879742189657814
2018-01-01T08:55:00Z,50.285798,10.931714,239,4646,532,3,0.034748735228780206
2018-01-01T08:58:33Z,50.463851,10.600287999999999,28,4558,852,1,0.15401439265536326
2018-01-01T09:19:37Z,50.475249,10.537632,140,2866,958,1,0.21380547098940184
2018-01-01T09:29:51Z,50.47082,10.873384,32,1120,669,1,0.1267875540264096
2018-01-01T09:32:04Z,50.509899,10.611419,15,4142,754,1,0.13893409862953018
2018-01-01T09:52:01Z,50.453582,10.748475,151,4538,684,1,0.04644304414011055
2018-01-01T10:02:20Z,50.493531,10.585117,184,2520,1088,1,0.16500985319065017
2018-01-01T10:47:00Z,50.409345,10.832925,215,1013,590,1,0.12286124144741326
2018-01-01T11:28:35Z,50.469852,10.754256,15,6616,1028,1,0.0304469282522854
2018-01-01T11:28:38Z,50.363508,11.041056,217,2220,608,2,0.05492960221956479
2018-01-01T11:50:53Z,50.482113,10.712526,85,2494,441,1,0.04152403454627248
2018-01-01T11:59:00Z,50.403984,11.038955,217,3902,693,2,0.039158195578958846
2018-01-01T11:59:26Z,50.521834,10.679248000000001,128,2054,487,1,0.0740443722371914
2018-01-01T12:13:10Z,50.538004,10.578394,83,2241,1051,1,0.17576382805344298
2018-01-01T12:25:41Z,50.365344,11.204823,68,3689,1198,2,0.20773420436942877
2018-01-01T13:19:59Z,50.392087,11.084481,180,2031,698,2,0.08485078037354797
2018-01-01T13:20:59Z,50.49996,10.569780999999999,22,-761,787,1,0.18021900443904457
2018-01-01T13:35:31Z,50.494273,10.637138,79,3070,1208,1,0.11300721026996444
2018-01-01T13:45:42Z,50.419482,11.154931,90,5340,828,2,0.1561510905661564
2018-01-01T14:05:55Z,50.34718,11.086148,104,7313,565,2,0.10105162197609509
2018-01-01T14:18:52Z,50.323392,10.929074,81,4529,768,3,0.03731599040625925
2018-01-01T14:49:29Z,50.319004,11.051779,153,4680,478,2,0.09613228831667231
2018-01-01T15:02:59Z,50.470629,10.810127999999999,70,4967,424,1,0.06691809938275085
2018-01-01T15:21:32Z,50.493309000000004,10.732548000000001,120,3830,587,1,0.0186906871195231
2018-01-01T15:32:34Z,50.456173,10.823526000000001,116,2575,665,1,0.08559718806713329
2018-01-01T15:52:18Z,50.492034,10.617215999999999,0,3501,973,1,0.13302273419231878
2018-01-01T15:59:34Z,50.552455,10.540318,0,2159,1528,1,0.2161436285181697
2018-01-01T17:23:13Z,50.520059,10.694700000000001,99,3620,298,1,0.058825619257259223
2018-01-01T17:54:00Z,50.52748,10.691429,66,7184,1040,1,0.06469708216759013
2018-01-01T17:56:01Z,50.331142,10.897645,159,5871,336,3,0.031230917197549043
2018-01-01T18:00:07Z,50.549366,10.550823000000001,115,3049,880,1,0.2052035069997573
2018-01-01T18:24:14Z,50.380695,11.11938,47,3643,895,2,0.12093083736169091
2018-01-01T18:25:34Z,50.256997,10.852108000000001,516,4015,735,3,0.0643653763525066
2018-01-01T19:18:00Z,50.513935,10.624637,157,5566,1174,1,0.12613511007645703
2018-01-01T19:18:45Z,50.520368,10.745578,121,3840,645,1,0.020842492845144663
2018-01-01T20:02:36Z,50.400479,11.141196,120,4657,952,2,0.14119681248881014
2018-01-01T20:18:04Z,50.502585,10.624535999999999,144,2701,637,1,0.12549062722371038
2018-01-01T20:40:53Z,50.523742,10.658726999999999,337,4929,1033,1,0.09431035517375663
2018-01-01T21:27:41Z,50.299743,10.881038,244,4380,330,3,0.018963741534834426
2018-01-01T21:48:03Z,50.270592,10.922360000000001,346,540,828,3,0.03694320051105256
2018-01-01T21:50:00Z,50.361318,11.101323,81,3457,590,2,0.10845573960376766
2018-01-01T22:23:06Z,50.553155,10.535831,80,3076,1557,1,0.22066675006896638
2018-01-01T22:29:28Z,50.387211,11.041955,212,2361,209,2,0.04386092276730992
2018-01-01T22:50:30Z,50.428158,10.712504,60,2218,902,1,0.08103840435250179
2018-01-02T00:37:47Z,50.415507,10.810448000000001,137,4137,1025,1,0.10388949779934659
2018-01-02T02:29:39Z,50.511575,10.55572,13,3894,1290,1,0.19462450777073187
2018-01-02T04:02:39Z,50.408696,11.045018,121,3566,951,2,0.04585019890905675
2018-01-02T05:42:08Z,50.410588,11.013698,172,3866,707,2,0.01731302827352747
2018-01-02T06:15:41Z,50.386428,11.115319,69,3226,761,2,0.116114904060589
2018-01-02T07:50:54Z,50.366319,11.077812,167,2234,785,2,0.08478866141766869
2018-01-02T08:04:00Z,50.344566,11.022231,60,3480,246,2,0.059725586786567336
2018-01-02T08:23:59Z,50.406985,11.132447,136,2654,879,2,0.13263105983893908
2018-01-02T08:24:52Z,50.498583000000004,10.591077,81,7080,698,1,0.1589293170500644
2018-01-02T08:59:24Z,50.395643,11.138625,143,2249,1848,2,0.13869345360902874
2018-01-02T09:02:06Z,50.370456,11.215682,70,3669,1430,2,0.21769605660185892
2018-01-02T09:03:24Z,50.424626,11.159245,113,1934,949,2,0.16113785992435278
2018-01-02T09:29:31Z,50.288993,10.949589,256,2823,240,3,0.05079589520817511
2018-01-02T09:35:46Z,50.3062,10.878732,255,2660,357,3,0.022153280208583957
2018-01-02T09:48:04Z,50.254611,10.941141,98,2856,451,3,0.061259637625438026
2018-01-02T10:02:23Z,50.307457,10.963982999999999,434,6188,959,3,0.0644160782569061
2018-01-02T10:17:00Z,50.454835,10.863288,16,3546,1032,1,0.12195920698741819
2018-01-02T10:46:49Z,50.469867,10.836985,9,5472,1060,1,0.09205643874276265
2018-01-02T11:21:00Z,50.444138,10.879940999999999,99,3215,548,2,0.12791530997109232
2018-01-02T11:23:03Z,50.499021,10.58513,42,1594,861,1,0.16487290663113868
2018-01-02T11:33:07Z,50.389368,11.054053,102,2952,245,2,0.055088712391922805
2018-01-02T11:47:50Z,50.434805,10.522986,69,2399,1039,1,0.23619005953045652
2018-01-02T11:53:09Z,50.507299,10.550856,63,2271,1737,1,0.19927771610744696
2018-01-02T12:28:06Z,50.463709,10.841282,9,2795,580,1,0.09823156419908942
2018-01-02T13:11:49Z,50.485791999999996,10.727048,159,2698,166,1,0.026993732013193446
2018-01-02T13:24:55Z,50.554541,10.535019,84,840,1780,1,0.22179168388828285
2018-01-02T13:31:45Z,50.455423,10.847504,57,5923,553,1,0.1072107221550151
2018-01-02T13:44:01Z,50.468117,10.591794,7,3109,886,1,0.1613866912883463
2018-01-02T14:11:04Z,50.535533,10.663485999999999,197,7208,759,1,0.09352682120654082
2018-01-02T14:19:22Z,50.426406,10.828796,69,4805,1662,1,0.1078187666967123
2018-01-02T14:22:00Z,50.301891,10.886088,200,3935,368,3,0.014039929665065547
2018-01-02T14:38:37Z,50.502711,10.702034000000001,123,2722,1308,1,0.048042550692067525
2018-01-02T14:40:43Z,50.317715,10.904717,578,3041,473,3,0.01833224792544783
2018-01-02T15:16:36Z,50.498074,10.617269,19,2950,1033,1,0.13274497292553084
2018-01-02T16:08:25Z,50.511534,10.547775,75,3300,869,1,0.20255365654808621
2018-01-02T16:15:24Z,50.512403,10.71685,115,2995,846,1,0.03539430616638668
2018-01-02T16:19:28Z,50.341147,11.023805,65,1515,1039,2,0.06348506622820733
2018-01-02T16:36:14Z,50.518745,10.662142,120,2497,1260,1,0.08983542279635699
2018-01-02T16:40:51Z,50.437728,10.533783,102,4234,1049,1,0.2250057623106576
2018-01-02T16:49:15Z,50.548051,10.532402000000001,60,4309,1539,1,0.22284027509631107
2018-01-02T16:56:34Z,50.423527,10.468691,49,1522,1300,1,0.2915182210600225
2018-01-02T17:08:07Z,50.363862,11.03966,0,3187,326,2,0.05365510827498205
2018-01-02T17:33:17Z,50.408024,11.082877,153,8115,1324,2,0.08326452849202931
2018-01-02T17:58:13Z,50.352042,11.105855,265,3147,958,2,0.11621209398767467
2018-01-02T18:08:00Z,50.51311,10.549268,60,3381,866,1,0.20115965779449935
2018-01-02T18:11:09Z,50.395661,10.815394999999999,268,3180,740,1,0.1231386736407392
2018-01-02T18:54:58Z,50.295479,10.945395999999999,308,3368,615,3,0.04562056835463397
2018-01-02T19:05:52Z,50.39726,11.065647,120,4533,586,2,0.06570415671021132
2018-01-02T19:22:10Z,50.551455,10.624379000000001,120,1980,1001,1,0.13575070042544687
2018-01-02T19:39:14Z,50.49246,10.708390999999999,56,4512,273,1,0.0422866466038639
2018-01-02T19:42:44Z,50.540258,10.576281,99,1892,771,1,0.17832273417879219
2018-01-02T20:19:09Z,50.291325,10.951336000000001,153,1996,326,3,0.05206381200987917
2018-01-02T20:19:10Z,50.463267,10.607478,122,5059,819,1,0.14717959699971916
2018-01-02T21:07:00Z,50.562648,10.635028,95,2762,1272,1,0.130932550147014
2018-01-02T21:23:52Z,50.370687,11.215254,565,7439,1780,2,0.21724073394508692
2018-01-02T21:35:14Z,50.518167,10.566324,117,3132,1430,1,0.18457224294297345
2018-01-02T21:54:15Z,50.51965,10.671158,25,3595,1079,1,0.08125382122706552
2018-01-02T22:25:48Z,50.513265,10.649038000000001,157,3254,810,1,0.10182968952618748
2018-01-02T22:59:18Z,50.511553,10.6945,120,3320,946,1,0.05668969755608173
2018-01-02T23:14:15Z,50.493428,10.718693,171,5426,918,1,0.031989364373178446
2018-01-02T23:18:58Z,50.249267,10.829439,166,3186,876,3,0.08690622538115055
2018-01-03T00:39:18Z,50.441439,10.701683,94,3534,612,1,0.07592050585974634
2018-01-03T01:15:29Z,50.44635,10.737397999999999,60,2649,808,1,0.0551101887494478
2018-01-03T01:44:36Z,50.271479,10.833506,206,9923,807,3,0.07235260518460922
2018-01-03T02:36:03Z,50.513953,10.62185,153,5246,560,1,0.12890736483614876
2018-01-03T04:24:00Z,50.404333,11.014131,77,4805,21,2,0.014780394108414177
2018-01-03T05:54:14Z,50.398462,11.053421,86,4386,396,2,0.05344313505961273
2018-01-03T07:00:29Z,50.328004,11.044992,60,5283,367,2,0.08489819833188367
2018-01-03T08:22:26Z,50.536138,10.662207,71,3958,864,1,0.09493980141647655
2018-01-03T08:27:59Z,50.446942,10.999066,114,1860,474,2,0.046951290930070604
2018-01-03T08:41:01Z,50.534693,10.644836,108,4538,1168,1,0.11073875177642134
2018-01-03T08:46:55Z,50.534036,10.715582000000001,0,2846,1118,1,0.048405041266379886
2018-01-03T09:13:45Z,50.442057,10.904746,130,10519,487,2,0.10412548086323586
2018-01-03T10:03:59Z,50.474776,10.560821,72,1101,1330,1,0.19085320069886125
2018-01-03T10:04:52Z,50.349284,11.03799,96,3715,838,2,0.06336681115536888
2018-01-03T10:46:14Z,50.340166,11.057894,52,4380,1616,2,0.08325756897723666
2018-01-03T10:52:42Z,50.512262,10.86472,14,7310,597,1,0.11537345901029418
2018-01-03T11:21:53Z,50.498701,10.594977,100,4208,640,1,0.15502844232591637
2018-01-03T11:28:03Z,50.481992,10.703337000000001,85,3399,244,1,0.05001723336011251
2018-01-03T11:30:53Z,50.52568,10.574461,58,5940,1230,1,0.17740744888814636
2018-01-03T11:31:09Z,50.553045,10.518564999999999,72,4088,1605,1,0.2374361624732009
2018-01-03T12:34:59Z,50.501873,10.702741,74,4320,359,1,0.04729610142495942
2018-01-03T12:56:54Z,50.425233,11.172925,71,1263,1057,2,0.17475628719448055
2018-01-03T14:22:35Z,50.492619,10.628476,49,3840,765,1,0.12174794346107141
2018-01-03T14:29:12Z,50.318174,10.878553,313,2421,724,3,0.02811170725872192
2018-01-03T14:37:57Z,50.326348,10.934441,260,3182,609,3,0.043363574402950876
2018-01-03T14:49:14Z,50.50693,10.542563999999999,136,7740,975,1,0.20755172607328634
2018-01-03T15:19:02Z,50.485549,10.733224,116,4357,79,1,0.022141941581533358
2018-01-03T15:26:24Z,50.418448,11.164044,4,2501,785,2,0.16507805014598442
2018-01-03T16:24:45Z,50.543479,10.534466,102,2810,866,1,0.21987571170322512
2018-01-03T17:19:07Z,50.502136,10.530534,25,2451,914,1,0.21947639429332774
2018-01-03T18:06:26Z,50.542816,10.526159,60,6288,1214,1,0.2278991073633248
2018-01-03T18:49:52Z,50.518745,10.662142,60,3925,705,1,0.08983542279635699
2018-01-03T19:04:40Z,50.370401,11.073062,153,4258,1281,2,0.07882992226940147
2018-01-03T19:28:59Z,50.398404,11.138747,49,4193,1170,2,0.13875617905160154
2018-01-03T19:46:37Z,50.446438,10.562614,4,4140,839,1,0.19489074077544052
2018-01-03T19:59:13Z,50.481992,10.703337000000001,120,9780,224,1,0.05001723336011251
2018-01-03T20:09:17Z,50.497235,10.554376000000001,426,3188,958,1,0.19564353963522402
2018-01-03T20:09:19Z,50.419195,11.084191,110,7980,615,2,0.08635144761959829
2018-01-03T20:18:41Z,50.446372,10.58711,150,4275,717,1,0.17149085831029198
2018-01-03T20:22:00Z,50.554218,10.630811999999999,77,6497,545,1,0.13094033323617343
2018-01-03T20:32:54Z,50.493937,10.618548,63,3075,688,1,0.1315917484989079
2018-01-03T20:46:47Z,50.499643,10.596885,121,4278,588,1,0.15311541618661362
2018-01-03T21:22:24Z,50.508368,10.625407,75,6240,942,1,0.12487369247763984
2018-01-03T21:22:31Z,50.473813,10.607229,22,4515,850,1,0.1451527382104793
2018-01-03T21:37:00Z,50.369884,11.20082,92,3240,907,2,0.20306561958145466
2018-01-03T21:41:13Z,50.552647,10.537992,72,2618,1848,1,0.21844701571090505
2018-01-03T21:44:09Z,50.51976,10.698962,180,4406,344,1,0.054729654155676294
2018-01-03T21:51:24Z,50.521299,10.688288,301,-824,957,1,0.06528413547715829
2018-01-03T22:23:19Z,50.397312,11.077357,98,4860,668,2,0.07740368720545474
2018-01-04T00:09:00Z,50.505316,10.519859,60,2571,945,1,0.23020238864312392
2018-01-04T01:07:01Z,50.471805,10.775708999999999,94,3189,132,1,0.038156397969406966
2018-01-04T02:20:50Z,50.49261,10.618793,175,3214,797,1,0.13141494948825258
2018-01-04T03:12:28Z,50.488223,10.566668,133,6231,1297,1,0.18370987984591375
2018-01-04T03:35:54Z,50.294385,10.946596,233,3205,288,3,0.04693309536989768
2018-01-04T03:56:18Z,50.504198,10.550629,92,2665,967,1,0.1994151921118342
2018-01-04T05:00:41Z,50.534685,10.641283,64,5805,741,1,0.11411588545859996
2018-01-04T07:19:24Z,50.397326,11.166834,105,3747,1463,2,0.16685542793688163
2018-01-04T08:05:14Z,50.397606,11.066976,104,4638,478,2,0.06701877208663276
2018-01-04T08:06:53Z,50.370503,11.075522,110,4740,762,2,0.081078021022962
2018-01-04T08:23:59Z,50.424068,10.772492,111,2598,422,1,0.07919317324113387
2018-01-04T08:59:11Z,50.554581,10.618177,116,4884,1100,1,0.1426758174674323
2018-01-04T09:00:32Z,50.374929,11.045057,115,3886,256,2,0.051562469781807764
2018-01-04T09:28:53Z,50.393629,11.064572,124,4604,492,2,0.06488553633129673
2018-01-04T09:29:19Z,50.466297,10.704152,93,2385,451,1,0.056902823418527586
2018-01-04T09:55:10Z,50.487876,10.719107000000001,56,2851,247,1,0.03318687730112515
2018-01-04T09:56:00Z,50.310077,10.938189999999999,293,3120,595,3,0.03949711418572158
2018-01-04T10:06:22Z,50.44473,10.583793,107,1130,1048,1,0.17515575853793677
2018-01-04T10:10:00Z,50.538998,10.57292,24,3310,1285,1,0.18132338625781286
2018-01-04T10:14:16Z,50.482883,10.540002999999999,155,2845,1296,1,0.2106934543311693
2018-01-04T10:59:40Z,50.291009,10.924472999999999,124,1709,329,3,0.026072318845853294
2018-01-04T11:16:01Z,50.351184,11.041554,180,2622,980,2,0.06410722870316178
2018-01-04T11:19:59Z,50.488275,10.569067,107,-611,1074,1,0.18131250953533187
2018-01-04T11:30:08Z,50.410323,11.099143,107,1810,1404,2,0.09967897861635594
