"jahr,quelle,geraetekategorie,neugeraeteabsatz_stk,geraetebestand_stk,verbrauch_neugeraete_kwh,verbrauch_geraetebestand_kwh"
"2002,""FEA"",""Elektroherde und Einbaubacköfen"",268400,2907854,93030925,1327148908"
"2002,""FEA"",""Geschirrspüler"",159274,1751301,36970000,504095655"
"2002,""FEA"",""Kühlschränke"",257100,3959165,72752000,1212396436"
"2002,""FEA"",""Tiefkühlschränke"",82700,1163988,25260000,366785059"
"2002,""FEA"",""Wäschetrockner"",79146,1056823,42260000,644032024"
"2002,""FEA"",""Waschmaschinen"",148709,1702764,44896000,744843173"
"2002,""FEA"",""Waschtrockner"",NA,44681,NA,29218624"
"2002,""SWICO"",""Beamer"",27000,52851,4302451,8484575"
"2002,""SWICO"",""Drucker"",634000,2982454,33145255,212058106"
"2002,""SWICO"",""Fernsehgeräte"",382000,4091283,53543902,604045579"
"2002,""SWICO"",""Laptops"",319000,1489335,15890525,71251703"
"2002,""SWICO"",""Monitore"",660000,4403273,56336209,510377829"
"2002,""SWICO"",""Personal Computer"",627000,4350953,69387666,557891584"
"2002,""SWICO"",""Server (Small Scale)"",49000,163487,65170000,211088850"
"2002,""SWICO"",""Settop-Boxen"",110000,355500,14532694,57456326"
"2002,""SWICO"",""USV"",59000,219944,23789298,94263079"
"2002,""SWICO"",""Video/DVD/Blu-Ray"",430300,2646763,18129241,131596891"
"2003,""FEA"",""Elektroherde und Einbaubacköfen"",268196,2935680,91121806,1325789909"
"2003,""FEA"",""Geschirrspüler"",162281,1803652,37482420,504234609"
"2003,""FEA"",""Kühlschränke"",268594,4004895,73613553,1216633347"
"2003,""FEA"",""Tiefkühlschränke"",86168,1246412,25573900,392006498"
"2003,""FEA"",""Wäschetrockner"",77159,1096202,38443550,682291079"
"2003,""FEA"",""Waschmaschinen"",148481,1731625,44755115,749013393"
"2003,""FEA"",""Waschtrockner"",6248,47753,3527018,31176402"
"2003,""SWICO"",""Beamer"",35000,86743,5056838,13372171"
"2003,""SWICO"",""Drucker"",714000,3344636,33742725,214575876"
"2003,""SWICO"",""Fernsehgeräte"",359450,4039237,51649081,599276644"
"2003,""SWICO"",""Laptops"",420000,1720546,23054950,85477487"
"2003,""SWICO"",""Monitore"",740000,4386501,47897569,459382376"
"2003,""SWICO"",""Personal Computer"",697000,4293074,73384500,519379602"
"2003,""SWICO"",""Server (Small Scale)"",58000,185308,84842400,249675500"
"2003,""SWICO"",""Settop-Boxen"",90000,429300,9768276,64132287"
"2003,""SWICO"",""USV"",61000,230163,23977339,96744649"
"2003,""SWICO"",""Video/DVD/Blu-Ray"",509200,2787390,19748506,129667103"
"2004,""FEA"",""Elektroherde und Einbaubacköfen"",291269,2964520,97632855,1324838744"
"2004,""FEA"",""Geschirrspüler"",172466,1855649,39608922,504300717"
"2004,""FEA"",""Kühlschränke"",258903,4041558,68379010,1217335306"
"2004,""FEA"",""Tiefkühlschränke"",90167,1312525,25427649,410765585"
"2004,""FEA"",""Wäschetrockner"",86828,1144158,42987730,721348066"
"2004,""FEA"",""Waschmaschinen"",157900,1769982,46426883,752084713"
"2004,""FEA"",""Waschtrockner"",7102,50837,3927028,33060341"
"2004,""SWICO"",""Beamer"",38000,120390,4328726,16999995"
"2004,""SWICO"",""Drucker"",768000,3808631,33352063,222074884"
"2004,""SWICO"",""Fernsehgeräte"",377500,4008125,54568475,591966576"
"2004,""SWICO"",""Laptops"",518000,2019430,31492706,106883027"
"2004,""SWICO"",""Monitore"",800000,4414424,44251481,408337364"
"2004,""SWICO"",""Personal Computer"",789000,4337111,94209243,511108493"
"2004,""SWICO"",""Server (Small Scale)"",67000,211301,97726200,294365361"
"2004,""SWICO"",""Settop-Boxen"",95000,497100,8115337,67247398"
"2004,""SWICO"",""USV"",65000,241838,24940826,99398968"
"2004,""SWICO"",""Video/DVD/Blu-Ray"",551000,2933573,22030992,129366027"
"2005,""FEA"",""Elektroherde und Einbaubacköfen"",299947,2992235,98364138,1323381586"
"2005,""FEA"",""Geschirrspüler"",178620,1907314,40883454,504664382"
"2005,""FEA"",""Kühlschränke"",264605,4083730,66719995,1217144802"
"2005,""FEA"",""Tiefkühlschränke"",91598,1400560,24576275,435140925"
"2005,""FEA"",""Wäschetrockner"",94424,1199017,51508670,768031429"
"2005,""FEA"",""Waschmaschinen"",157561,1805712,48078700,757172016"
"2005,""FEA"",""Waschtrockner"",5745,53933,3463898,35383697"
"2005,""SWICO"",""Beamer"",43000,152452,3795269,19010526"
"2005,""SWICO"",""Drucker"",763000,4266403,30713916,228404530"
"2005,""SWICO"",""Fernsehgeräte"",437500,4038597,70654417,604553365"
"2005,""SWICO"",""Laptops"",658000,2429617,42004904,137323313"
"2005,""SWICO"",""Monitore"",854300,4499773,45751487,361319382"
"2005,""SWICO"",""Personal Computer"",834000,4448312,106785875,524356905"
"2005,""SWICO"",""Server (Small Scale)"",70000,234790,98924000,331396203"
"2005,""SWICO"",""Settop-Boxen"",95000,550500,5964100,65929940"
"2005,""SWICO"",""USV"",68000,253894,24816517,101399808"
"2005,""SWICO"",""Video/DVD/Blu-Ray"",570500,3049798,20991356,126549110"
